match_id,match_date,event_name,team_1,team_2,player_id,player_name,adr,dpr,kast,kpr,multi_kill,rating_3_0,rating_3_0_ct_rating,rating_3_0_t_rating,round_swing,firepower_combined_score,entrying_combined_score,trading_combined_score,opening_combined_score,clutching_combined_score,sniping_combined_score,utility_combined_score
2388128,2025-12-13,StarLadder Budapest Major 2025,Spirit,Vitality,21167,donk,91.2,0.67,74.8,0.88,22.1,1.32,1.39,1.26,2.23,99.0,43.0,74.0,91.0,54.0,3.0,44.0
2388128,2025-12-13,StarLadder Budapest Major 2025,Spirit,Vitality,19808,tn1r,69.1,0.65,70.6,0.62,15.8,1.0,0.97,1.04,-0.3,38.0,43.0,24.0,27.0,73.0,0.0,46.0
2388128,2025-12-13,StarLadder Budapest Major 2025,Spirit,Vitality,16920,sh1ro,76.9,0.54,75.4,0.76,18.3,1.18,1.17,1.2,2.26,80.0,2.0,58.0,49.0,63.0,94.0,70.0
2388128,2025-12-13,StarLadder Budapest Major 2025,Spirit,Vitality,23685,zweih,66.8,0.69,66.9,0.59,13.2,0.95,1.01,0.89,-0.61,20.0,64.0,7.0,50.0,26.0,1.0,30.0
2388128,2025-12-13,StarLadder Budapest Major 2025,Spirit,Vitality,7716,chopper,59.7,0.66,69.2,0.5,9.8,0.84,0.86,0.81,-2.05,3.0,63.0,15.0,14.0,58.0,0.0,68.0
2388128,2025-12-13,StarLadder Budapest Major 2025,Spirit,Vitality,11816,ropz,77.4,0.6,76.4,0.74,18.3,1.16,1.17,1.16,1.42,79.0,7.0,66.0,50.0,71.0,3.0,21.0
2388128,2025-12-13,StarLadder Budapest Major 2025,Spirit,Vitality,11893,zywoo,86.4,0.59,75.9,0.82,22.2,1.3,1.29,1.32,3.29,97.0,27.0,69.0,86.0,56.0,90.0,57.0
2388128,2025-12-13,StarLadder Budapest Major 2025,Spirit,Vitality,18462,mezii,69.8,0.63,74.5,0.66,15.4,1.07,1.08,1.07,0.52,43.0,77.0,63.0,36.0,64.0,0.0,57.0
2388128,2025-12-13,StarLadder Budapest Major 2025,Spirit,Vitality,16693,flamez,76.6,0.68,74.2,0.71,18.1,1.14,1.22,1.04,1.01,73.0,96.0,17.0,85.0,40.0,0.0,75.0
2388128,2025-12-13,StarLadder Budapest Major 2025,Spirit,Vitality,7322,apex,63.9,0.66,69.1,0.52,11.2,0.86,0.91,0.82,-1.81,8.0,54.0,28.0,20.0,41.0,0.0,98.0
2394228,2026-05-24,CS Asia Championships 2026,Falcons,Legacy,24177,kyousuke,81.7,0.7,73.2,0.76,19.5,1.15,1.16,1.13,0.89,88.0,70.0,85.0,74.0,31.0,4.0,31.0
2394228,2026-05-24,CS Asia Championships 2026,Falcons,Legacy,19230,m0nesy,80.2,0.59,76.6,0.8,19.6,1.26,1.34,1.18,3.5,90.0,31.0,37.0,87.0,62.0,95.0,62.0
2394228,2026-05-24,CS Asia Championships 2026,Falcons,Legacy,12018,teses,70.0,0.63,72.9,0.64,15.4,1.05,1.12,0.99,0.3,40.0,52.0,51.0,23.0,50.0,0.0,54.0
2394228,2026-05-24,CS Asia Championships 2026,Falcons,Legacy,3741,niko,73.1,0.65,72.2,0.67,16.9,1.07,1.02,1.11,0.53,57.0,56.0,68.0,45.0,51.0,0.0,75.0
2394228,2026-05-24,CS Asia Championships 2026,Falcons,Legacy,429,karrigan,58.9,0.71,65.8,0.51,10.8,0.82,0.88,0.76,-2.46,4.0,58.0,5.0,27.0,32.0,0.0,73.0
2394228,2026-05-24,CS Asia Championships 2026,Falcons,Legacy,19045,latto,78.7,0.61,77.0,0.75,17.8,1.17,1.21,1.13,1.22,80.0,59.0,59.0,53.0,64.0,0.0,71.0
2394228,2026-05-24,CS Asia Championships 2026,Falcons,Legacy,15698,dumau,86.0,0.64,74.8,0.79,20.7,1.19,1.19,1.19,1.25,95.0,39.0,63.0,88.0,36.0,0.0,80.0
2394228,2026-05-24,CS Asia Championships 2026,Falcons,Legacy,19686,n1ssim,70.5,0.6,74.4,0.65,14.9,1.06,1.05,1.07,0.42,40.0,25.0,16.0,21.0,47.0,0.0,42.0
2394228,2026-05-24,CS Asia Championships 2026,Falcons,Legacy,22965,saadzin,68.8,0.53,75.5,0.68,15.3,1.09,1.11,1.06,1.37,44.0,24.0,32.0,47.0,44.0,92.0,65.0
2394228,2026-05-24,CS Asia Championships 2026,Falcons,Legacy,12521,art,71.1,0.68,71.9,0.61,14.3,0.97,1.02,0.91,-0.78,34.0,79.0,21.0,76.0,24.0,2.0,79.0
2394219,2026-05-22,CS Asia Championships 2026,Falcons,Legacy,12018,teses,70.6,0.63,72.6,0.64,15.8,1.07,1.13,1.01,0.58,44.0,55.0,49.0,22.0,49.0,0.0,55.0
